,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
0,Princess,$500,0.26,H,VVS1,Excellent,Excellent,None,75.7,72.0,1.04,"$1,923",None,LD12398491,Apr 13,Astor Ideal
1,Princess,$502,0.31,F,SI1,Very Good,Very Good,Strong,79.1,71.0,1.03,"$1,619",None,LD11934708,Apr 13,Astor Ideal
2,Princess,$503,0.28,F,VS2,Excellent,Very Good,None,76.8,71.0,1.05,"$1,796",None,LD09813868,Apr 13,Astor Ideal
3,Princess,$503,0.26,F,VS1,Excellent,Very Good,None,77.0,74.0,1.01,"$1,935",None,LD11413917,Apr 13,Astor Ideal
4,Princess,$503,0.27,D,VS1,Excellent,Very Good,Strong,74.8,70.0,1.04,"$1,863",None,LD12917146,Apr 13,Astor Ideal
5,Princess,$504,0.30,H,VVS1,Very Good,Very Good,None,78.0,70.0,1.01,"$1,680",None,LD10409896,Apr 13,Astor Ideal
6,Princess,$504,0.26,F,VS2,Excellent,Very Good,None,73.0,69.0,1.03,"$1,938",None,LD13077743,Apr 13,Astor Ideal
7,Princess,$505,0.28,D,VS1,Very Good,Very Good,Faint,73.9,65.0,1.03,"$1,804",None,LD09760790,Apr 13,Astor Ideal
8,Princess,$506,0.42,I,SI1,Excellent,Excellent,None,70.1,71.0,1.00,"$1,205",None,LD01776738,Apr 13,Very Good
9,Princess,$508,0.27,F,VS1,Very Good,Very Good,Strong,74.9,69.0,1.02,"$1,881",None,LD11297688,Apr 13,Astor Ideal
10,Princess,$511,0.25,F,VVS2,Excellent,Very Good,Strong,73.8,71.0,1.02,"$2,044",None,LD11838867,Apr 13,Astor Ideal
11,Princess,$514,0.28,E,VS2,Excellent,Very Good,None,76.7,59.0,1.00,"$1,836",None,LD09547932,Apr 13,Astor Ideal
12,Princess,$514,0.32,G,VS2,Very Good,Very Good,Strong,76.3,72.0,1.00,"$1,606",None,LD11008509,Apr 13,Astor Ideal
13,Princess,$515,0.27,H,VVS2,Excellent,Very Good,Medium,74.5,70.0,1.04,"$1,907",None,LD12246313,Apr 13,Astor Ideal
14,Princess,$517,0.25,F,VVS2,Excellent,Very Good,Medium,75.6,66.0,1.04,"$2,068",None,LD11446536,Apr 13,Astor Ideal
15,Princess,$518,0.28,E,VS2,Excellent,Very Good,None,77.0,72.0,1.01,"$1,850",None,LD08182929,Apr 13,Astor Ideal
16,Princess,$519,0.31,E,SI1,Excellent,Very Good,None,75.7,71.0,1.01,"$1,674",None,LD09729229,Apr 13,Astor Ideal
17,Princess,$519,0.31,E,SI1,Excellent,Very Good,None,76.9,67.0,1.02,"$1,674",None,LD09863679,Apr 13,Astor Ideal
18,Princess,$521,0.29,F,VS2,Excellent,Very Good,None,74.8,67.0,1.03,"$1,797",None,LD09749301,Apr 13,Astor Ideal
19,Princess,$521,0.31,F,VVS2,Very Good,Very Good,None,72.6,72.0,1.02,"$1,681",None,LD10065432,Apr 13,Very Good
20,Princess,$523,0.24,D,VVS1,Very Good,Very Good,Medium,76.0,69.0,1.02,"$2,179",None,LD12629798,Apr 13,Astor Ideal
21,Princess,$523,0.27,F,VS2,Excellent,Very Good,None,74.7,70.0,1.01,"$1,937",None,LD14500815,Apr 13,Astor Ideal
