Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.23,1,3,1,61.3,60.0,1,1,1,1.01,1,2,600
0.43,8,7,1,62.6,56.0,1,1,1,1.01,0,1,600
0.3,2,8,3,63.9,57.0,1,2,2,1.01,1,1,600
0.3,8,3,1,61.3,57.0,1,1,1,1.01,1,0,600
0.4,7,8,2,62.0,59.0,2,2,2,1.0,1,1,600
0.27,4,5,3,59.0,62.0,1,1,1,1.0,1,0,600
0.27,4,5,3,59.0,62.0,1,1,1,1.0,1,0,600
0.3,2,8,3,63.9,57.0,1,2,2,1.01,1,1,600
0.4,7,8,2,62.0,59.0,2,2,2,1.0,1,1,600
0.3,1,7,2,62.3,61.0,1,2,1,1.01,1,1,601
0.45,7,8,4,65.4,56.0,2,2,3,1.0,1,0,601
0.3,3,6,4,60.4,66.0,2,2,2,1.02,1,0,601
0.3,1,7,2,62.3,61.0,1,2,1,1.01,1,1,601
0.45,7,8,4,65.4,56.0,2,2,3,1.0,1,0,601
0.23,3,2,4,58.3,61.0,1,2,1,1.01,1,0,602
0.4,8,7,3,64.3,59.0,2,1,2,1.0,1,1,602
0.4,6,8,1,61.7,57.0,1,1,1,1.0,1,1,602
0.3,3,6,3,62.4,59.0,3,3,2,1.01,1,0,602
0.3,3,8,1,61.4,59.0,1,2,1,1.0,0,0,602
0.4,8,7,3,64.3,59.0,2,1,2,1.0,1,1,602
0.4,6,8,1,61.7,57.0,1,1,1,1.0,1,1,602
0.4,7,7,4,59.7,63.0,1,3,2,1.02,1,1,602
0.31,6,3,1,62.2,58.0,1,1,1,1.0,1,0,602
0.3,3,8,1,61.4,59.0,1,2,1,1.0,0,0,602
0.3,2,7,4,65.6,54.0,1,3,3,1.01,0,0,602
0.3,3,6,3,62.4,59.0,3,3,2,1.01,1,0,602
0.26,4,6,1,60.3,59.0,1,1,1,1.0,1,0,604
0.27,5,6,1,62.0,59.0,1,1,1,1.0,1,1,604
0.3,4,7,1,61.2,60.0,1,1,1,1.01,1,2,604
0.25,4,3,1,62.0,59.0,1,1,1,1.01,0,0,604
0.33,5,7,1,61.6,59.0,1,1,1,1.0,1,3,604
0.26,4,6,1,60.3,59.0,1,1,1,1.0,1,0,604
0.3,4,7,1,61.2,60.0,1,1,1,1.01,1,2,604
0.26,3,6,1,62.5,58.0,1,1,1,1.0,1,0,604
0.3,4,8,1,61.8,60.0,1,1,1,1.0,1,0,604
0.33,5,7,1,61.6,59.0,1,1,1,1.0,1,3,604
0.26,4,4,1,62.1,56.0,1,1,1,1.0,0,1,605
0.3,2,8,2,61.6,53.0,2,2,1,1.0,1,3,605
0.26,4,3,1,61.1,60.0,1,1,1,1.0,1,3,605
0.3,4,7,1,61.1,59.0,1,1,1,1.01,0,1,605
0.27,3,6,1,62.1,57.0,1,1,1,1.0,1,1,605
0.3,4,7,1,61.1,59.0,1,1,1,1.01,0,1,605
0.31,2,8,2,62.9,57.0,2,2,2,1.01,1,0,605
0.27,3,6,1,62.1,57.0,1,1,1,1.0,1,1,605
0.41,7,7,1,61.8,60.0,1,1,1,1.0,1,1,605
0.26,4,3,1,61.1,60.0,1,1,1,1.0,1,3,605
0.26,4,4,1,62.1,56.0,1,1,1,1.0,0,1,605
0.3,1,8,3,63.9,57.0,1,2,2,1.01,1,1,607
0.29,3,5,3,62.8,57.0,3,3,2,1.01,1,1,607
0.3,1,7,1,62.1,59.0,1,1,1,1.01,1,1,607
0.29,3,5,3,62.8,57.0,3,3,2,1.01,1,1,607
0.3,3,8,1,61.8,55.0,1,2,1,1.0,1,1,607
0.3,3,8,1,61.8,57.0,1,1,1,1.0,1,0,607
0.4,6,8,2,63.5,56.0,1,1,2,1.01,1,2,607
0.4,8,6,4,64.7,58.0,2,2,3,1.02,1,0,607
0.3,6,5,1,62.5,58.0,1,1,1,1.01,0,0,607
0.4,6,8,2,63.5,56.0,1,1,2,1.01,1,2,607
0.3,3,8,1,61.8,55.0,1,2,1,1.0,1,1,607
0.3,1,7,1,62.1,59.0,1,1,1,1.01,1,1,607
0.3,4,7,2,62.4,58.0,2,2,1,1.0,0,0,608
0.31,7,5,1,62.6,58.0,1,1,1,1.01,1,0,608
0.29,2,6,5,59.0,64.0,3,3,2,1.01,2,0,608
0.4,8,6,1,62.5,55.0,1,1,1,1.01,1,0,608
0.27,5,4,1,60.7,58.0,1,1,1,1.01,1,0,608
0.27,5,4,1,60.7,58.0,1,1,1,1.01,1,0,608
0.29,2,6,5,59.0,64.0,3,3,2,1.01,2,0,608
0.24,2,3,1,60.5,59.0,1,1,1,1.0,0,1,609
0.3,3,7,1,61.3,60.0,1,1,1,1.0,0,0,609
0.32,4,8,1,62.2,57.0,1,1,1,1.0,1,0,609
0.4,7,8,2,62.1,57.0,2,2,1,1.0,1,2,609
0.3,3,7,1,61.3,60.0,1,1,1,1.0,0,0,609
0.26,1,5,1,61.4,60.0,1,1,1,1.0,1,2,609
0.24,2,3,1,60.5,59.0,1,1,1,1.0,0,1,609
0.32,4,8,1,62.2,57.0,1,1,1,1.0,1,0,609
0.43,6,8,1,60.9,59.0,1,1,1,1.01,1,1,611
0.33,3,7,1,62.5,58.0,1,1,1,1.01,1,3,611
0.23,3,4,3,60.7,62.0,1,2,1,1.01,1,0,611
0.26,4,4,1,61.5,58.0,1,1,1,1.01,1,0,611
0.4,6,8,2,63.3,56.0,1,2,2,1.01,1,1,611
0.3,1,7,1,62.2,57.0,1,1,1,1.01,1,3,611
0.43,6,8,1,60.9,59.0,1,1,1,1.01,1,1,611
0.3,1,7,1,62.2,57.0,1,1,1,1.01,1,3,611
0.26,4,4,1,61.5,58.0,1,1,1,1.01,1,0,611
0.3,6,5,1,60.9,58.0,1,1,1,1.0,1,0,612
0.4,6,8,2,61.4,60.0,1,2,1,1.01,1,0,612
0.34,5,6,2,59.0,60.0,1,1,1,1.0,1,2,612
0.3,2,7,1,61.0,60.0,1,1,1,1.0,0,2,612
0.3,1,6,3,62.2,61.0,2,2,2,1.0,1,1,612
0.4,6,8,3,63.7,57.0,2,2,2,1.0,1,2,612
0.4,8,6,2,63.4,59.0,1,1,2,1.01,1,0,612
0.3,6,5,1,60.9,58.0,1,1,1,1.0,1,0,612
0.34,5,6,2,59.0,60.0,1,1,1,1.0,1,2,612
0.3,1,6,3,62.2,61.0,2,2,2,1.0,1,1,612
0.4,6,8,3,63.7,57.0,2,2,2,1.0,1,2,612
0.4,6,8,5,65.3,55.0,3,2,3,1.01,1,1,612
0.34,6,5,1,62.4,57.0,1,1,1,1.0,1,0,614
0.4,6,8,3,63.1,60.0,1,2,2,1.01,1,0,614
0.3,7,4,1,60.7,60.0,1,1,1,1.0,1,0,614
0.33,6,7,1,62.4,56.0,1,1,1,1.0,1,0,614
0.38,8,6,1,62.1,57.0,1,1,1,1.01,1,0,614
0.33,6,7,1,62.4,56.0,1,1,1,1.0,1,0,614
0.3,7,4,1,60.7,60.0,1,1,1,1.0,1,0,614
0.34,6,5,1,62.4,57.0,1,1,1,1.0,1,0,614
0.3,1,8,1,61.7,57.0,1,1,1,1.01,1,1,614
0.31,1,8,1,60.6,59.0,2,1,1,1.0,1,0,615
0.31,3,8,1,60.4,60.0,1,1,1,1.0,1,0,615
0.25,1,6,1,60.1,60.0,1,1,1,1.0,0,0,615
0.33,1,8,2,60.6,61.0,1,1,1,1.0,1,1,615
0.31,4,7,1,62.6,58.0,1,2,1,1.0,0,0,615
0.4,8,7,1,62.3,56.0,1,1,1,1.0,1,0,615
0.4,7,6,4,58.2,55.0,2,2,2,1.01,2,2,615
0.31,1,8,1,60.6,59.0,2,1,1,1.0,1,0,615
0.23,2,2,1,61.9,58.0,1,1,1,1.01,1,1,615
0.4,8,7,1,62.3,56.0,1,1,1,1.0,1,0,615
0.33,1,8,2,60.6,61.0,1,1,1,1.0,1,1,615
0.31,3,8,1,60.4,60.0,1,1,1,1.0,1,0,615
0.3,6,2,1,62.6,56.0,1,1,1,1.0,1,0,616
0.3,6,2,1,62.6,56.0,1,1,1,1.0,1,0,616
0.31,3,7,1,61.8,58.0,2,1,1,1.01,0,0,616
0.3,6,6,3,58.3,61.0,1,1,1,1.01,0,1,616
0.3,1,7,1,62.8,56.0,1,2,1,1.01,1,0,616
0.31,3,7,1,61.8,58.0,2,1,1,1.01,0,0,616
0.23,2,2,1,62.8,57.0,1,1,1,1.01,1,1,616
0.3,1,7,1,62.8,56.0,1,2,1,1.01,1,0,616
0.3,6,4,1,61.6,60.0,1,1,1,1.01,1,0,616
0.3,6,6,1,62.2,56.0,1,1,1,1.0,0,0,618
0.27,2,5,1,63.0,57.0,1,1,1,1.0,1,1,618
0.4,7,7,5,57.9,64.0,3,2,3,1.01,1,0,618
0.4,7,7,5,57.9,64.0,3,2,3,1.01,1,0,618
0.3,5,5,1,61.8,58.0,2,1,1,1.01,1,1,618
0.3,6,6,1,62.2,56.0,1,1,1,1.0,0,0,618
