Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Length to Width,Culet,Fluorescence,Price,FourC,DT Ratio,Carat Color,Carat Clarity,Shine
0.3,8,3,1,61.3,57.0,1,1,1.01,1.0,1,600,7.199999999999999,1.075438596491228,1.8660659830736148,1.3903891703159093,1
0.43,8,7,1,62.6,56.0,1,1,1.01,0.01,2,600,24.08,1.1178571428571429,2.445280555384137,2.308831065243013,2
0.23,1,3,1,61.3,60.0,1,1,1.01,1.0,3,600,0.6900000000000001,1.0216666666666667,1.0,1.2874722840771342,3
0.27,4,5,3,59.0,62.0,1,1,1.0,1.0,1,600,16.200000000000003,0.9516129032258065,1.4539725173203106,1.5442652584441634,1
0.3,2,8,3,63.9,57.0,1,2,1.01,1.0,2,600,14.399999999999999,1.1210526315789473,1.2311444133449163,1.8660659830736148,4
0.4,7,8,2,62.0,59.0,2,2,1.0,1.0,2,600,44.800000000000004,1.0508474576271187,2.17790642448278,2.29739670999407,8
0.3,1,7,2,62.3,61.0,1,2,1.01,1.0,2,601,4.2,1.021311475409836,1.0,1.792789962520997,4
0.3,3,6,4,60.4,66.0,2,2,1.02,1.0,1,601,21.599999999999998,0.9151515151515152,1.3903891703159093,1.711769859409705,4
0.45,7,8,4,65.4,56.0,2,2,1.0,1.0,1,601,100.8,1.167857142857143,2.4004580350323375,2.5491212546385245,4
0.4,7,7,4,59.7,63.0,1,3,1.02,1.0,2,602,78.4,0.9476190476190477,2.17790642448278,2.17790642448278,6
0.23,3,2,4,58.3,61.0,1,2,1.01,1.0,1,602,5.5200000000000005,0.9557377049180328,1.2874722840771342,1.1728349492318788,2
0.3,2,7,4,65.6,54.0,1,3,1.01,0.01,1,602,16.8,1.2148148148148148,1.2311444133449163,1.792789962520997,3
0.4,6,8,1,61.7,57.0,1,1,1.0,1.0,2,602,19.200000000000003,1.0824561403508772,2.0476725110792193,2.29739670999407,2
0.4,8,7,3,64.3,59.0,2,1,1.0,1.0,2,602,67.2,1.0898305084745763,2.29739670999407,2.17790642448278,4
0.3,3,8,1,61.4,59.0,1,2,1.0,0.01,1,602,7.199999999999999,1.040677966101695,1.3903891703159093,1.8660659830736148,2
0.3,3,6,3,62.4,59.0,3,3,1.01,1.0,1,602,16.2,1.0576271186440678,1.3903891703159093,1.711769859409705,9
0.31,6,3,1,62.2,58.0,1,1,1.0,1.0,1,602,5.58,1.0724137931034483,1.7427170798964473,1.405748371154117,1
0.25,4,3,1,62.0,59.0,1,1,1.01,0.01,1,604,3.0,1.0508474576271187,1.4142135623730951,1.3160740129524924,1
0.26,4,6,1,60.3,59.0,1,1,1.0,1.0,1,604,6.24,1.0220338983050847,1.4339552480158273,1.5933798659808396,1
0.27,5,6,1,62.0,59.0,1,1,1.0,1.0,2,604,8.100000000000001,1.0508474576271187,1.5442652584441634,1.6221867045640646,2
0.3,4,8,1,61.8,60.0,1,1,1.0,1.0,1,604,9.6,1.03,1.515716566510398,1.8660659830736148,1
0.33,5,7,1,61.6,59.0,1,1,1.0,1.0,4,604,11.55,1.0440677966101695,1.7008268430839244,1.900563363234187,4
0.3,4,7,1,61.2,60.0,1,1,1.01,1.0,3,604,8.4,1.02,1.515716566510398,1.792789962520997,3
0.26,3,6,1,62.5,58.0,1,1,1.0,1.0,1,604,4.68,1.0775862068965518,1.3306122771409934,1.5933798659808396,1
0.26,4,3,1,61.1,60.0,1,1,1.0,1.0,4,605,3.12,1.0183333333333333,1.4339552480158273,1.3306122771409934,4
0.26,4,4,1,62.1,56.0,1,1,1.0,0.01,2,605,4.16,1.1089285714285715,1.4339552480158273,1.4339552480158273,2
0.3,4,7,1,61.1,59.0,1,1,1.01,0.01,2,605,8.4,1.035593220338983,1.515716566510398,1.792789962520997,2
0.27,3,6,1,62.1,57.0,1,1,1.0,1.0,2,605,4.86,1.0894736842105264,1.3453111410552958,1.6221867045640646,2
0.41,7,7,1,61.8,60.0,1,1,1.0,1.0,2,605,20.089999999999996,1.03,2.2207015536346892,2.2207015536346892,2
0.31,2,8,2,62.9,57.0,2,2,1.01,1.0,1,605,9.92,1.1035087719298244,1.2397076999389867,1.9052759960878747,4
0.3,2,8,2,61.6,53.0,2,2,1.0,1.0,4,605,9.6,1.1622641509433962,1.2311444133449163,1.8660659830736148,16
0.29,3,5,3,62.8,57.0,3,3,1.01,1.0,2,607,13.049999999999999,1.1017543859649122,1.3751977840419787,1.594781912009878,18
0.3,1,7,1,62.1,59.0,1,1,1.01,1.0,2,607,2.1,1.0525423728813559,1.0,1.792789962520997,2
0.3,3,8,1,61.8,55.0,1,2,1.0,1.0,2,607,7.199999999999999,1.1236363636363635,1.3903891703159093,1.8660659830736148,4
0.4,6,8,2,63.5,56.0,1,1,1.01,1.0,3,607,38.400000000000006,1.1339285714285714,2.0476725110792193,2.29739670999407,3
0.3,1,8,3,63.9,57.0,1,2,1.01,1.0,2,607,7.199999999999999,1.1210526315789473,1.0,1.8660659830736148,4
0.4,8,6,4,64.7,58.0,2,2,1.02,1.0,1,607,76.80000000000001,1.1155172413793104,2.29739670999407,2.0476725110792193,4
0.3,3,8,1,61.8,57.0,1,1,1.0,1.0,1,607,7.199999999999999,1.0842105263157895,1.3903891703159093,1.8660659830736148,1
0.3,6,5,1,62.5,58.0,1,1,1.01,0.01,1,607,9.0,1.0775862068965518,1.711769859409705,1.6206565966927624,1
0.27,5,4,1,60.7,58.0,1,1,1.01,1.0,1,608,5.4,1.0465517241379312,1.5442652584441634,1.4539725173203106,1
0.3,4,7,2,62.4,58.0,2,2,1.0,0.01,1,608,16.8,1.0758620689655172,1.515716566510398,1.792789962520997,4
0.31,7,5,1,62.6,58.0,1,1,1.01,1.0,1,608,10.85,1.0793103448275863,1.8280176826497687,1.6469510875587976,1
0.4,8,6,1,62.5,55.0,1,1,1.01,1.0,1,608,19.200000000000003,1.1363636363636365,2.29739670999407,2.0476725110792193,1
0.29,2,6,4,59.0,64.0,3,3,1.01,2.0,1,608,13.919999999999998,0.921875,1.2226402776920684,1.681372200562602,9
0.4,7,8,2,62.1,57.0,2,2,1.0,1.0,3,609,44.800000000000004,1.0894736842105264,2.17790642448278,2.29739670999407,12
0.26,1,5,1,61.4,60.0,1,1,1.0,1.0,3,609,1.3,1.0233333333333332,1.0,1.5196102039986283,3
0.3,3,7,1,61.3,60.0,1,1,1.0,0.01,1,609,6.299999999999999,1.0216666666666667,1.3903891703159093,1.792789962520997,1
0.32,4,8,1,62.2,57.0,1,1,1.0,1.0,1,609,10.24,1.0912280701754387,1.5583291593209998,1.945309894824571,1
0.24,2,3,1,60.5,59.0,1,1,1.0,0.01,2,609,1.44,1.0254237288135593,1.1809926614295303,1.301694593777859,2
0.26,4,4,1,61.5,58.0,1,1,1.01,1.0,1,611,4.16,1.0603448275862069,1.4339552480158273,1.4339552480158273,1
