,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
0,Round,0.30 ct.,H,SI1,Excellent,GIA,60.0 %,56 %,Very Good,Good,Very Good,4.34x4.36x2.61 mm,1.00,Medium - Sl. Thick,None,Faint,D113631070,$506
1,Round,0.37 ct.,K,SI1,Excellent,GIA,63.7 %,57 %,Excellent,Very Good,Very Good,4.48x4.5x2.86 mm,1.00,n/a,n/a,None,D112952951,$500
2,Round,0.37 ct.,K,SI1,Excellent,GIA,63.7 %,57 %,Excellent,Very Good,Very Good,4.48x4.5x2.86 mm,1.00,n/a,n/a,None,D112952951,$500
3,Round,0.37 ct.,K,SI1,Very Good,GIA,64.4 %,60 %,Very Good,Very Good,Very Good,4.44x4.49x2.87 mm,1.01,Medium - Thick,None,None,D113039019,$500
4,Round,0.30 ct.,K,IF,Very Good,GIA,61.4 %,64 %,Very Good,Very Good,Very Good,4.28x4.23x2.61 mm,1.01,Sl. Thick - Thick,None,None,D113241731,$500
5,Round,0.33 ct.,J,VS2,Ideal,GIA,61.9 %,53 %,Excellent,Very Good,Excellent,4.49x4.51x2.79 mm,1.00,Thin - Medium,None,None,D113482712,$500
6,Round,0.31 ct.,J,VS1,Ideal,GIA,61.1 %,61 %,Excellent,Excellent,Excellent,4.35x4.38x2.67 mm,1.01,n/a,n/a,Faint,D113681830,$500
7,Round,0.40 ct.,K,SI2,Ideal,GIA,62.0 %,59 %,Very Good,Very Good,Very Good,4.68x4.69x2.91 mm,1.00,Thin - Thick,None,Medium,D112747220,$502
8,Round,0.31 ct.,J,SI1,Excellent,GIA,63.6 %,55 %,Very Good,Very Good,Very Good,4.30x4.25x2.72 mm,1.01,Thin - Sl. Thick,None,Faint,D113176303,$502
9,Round,0.32 ct.,I,SI1,Ideal,GIA,61.6 %,58 %,Very Good,Excellent,Very Good,4.37x4.4x2.7 mm,1.01,n/a,n/a,Faint,D113341546,$502
