,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
0,Round,0.27 ct.,G,VS1,Excellent,GIA,59.0 %,62 %,Excellent,Excellent,Excellent,4.26x4.28x2.52 mm,1.00,n/a,None,None,D111983136,$600
1,Round,0.40 ct.,J,SI2,Ideal,GIA,62.0 %,59 %,Very Good,Very Good,Very Good,4.68x4.7x2.91 mm,1.00,Thin - Thick,None,Faint,D112997111,$600
2,Round,0.30 ct.,E,SI2,Excellent,GIA,63.9 %,57 %,Excellent,Very Good,Very Good,4.23x4.19x2.69 mm,1.01,Sl. Thick - Thick,None,Faint,D113703850,$600
3,Round,0.45 ct.,J,SI2,Very Good,GIA,65.4 %,56 %,Very Good,Very Good,Good,4.71x4.73x3.09 mm,1.00,Medium - V. Thick,None,None,D112884168,$601
4,Round,0.30 ct.,D,SI1,Ideal,GIA,62.3 %,61 %,Excellent,Very Good,Excellent,4.3x4.24x2.66 mm,1.01,Sl. Thick,None,Faint,D113624404,$601
5,Round,0.40 ct.,I,SI2,Super Ideal,GIA,61.7 %,57 %,Excellent,Excellent,Excellent,4.76x4.74x2.93 mm,1.00,n/a,None,Faint,D112109925,$602
6,Round,0.40 ct.,K,SI1,Excellent,GIA,64.3 %,59 %,Very Good,Excellent,Very Good,4.60x4.58x2.95 mm,1.00,Thick,None,Faint,D112346266,$602
7,Round,0.30 ct.,F,SI2,Super Ideal,GIA,61.4 %,59 %,Excellent,Very Good,Excellent,4.30x4.31x2.64 mm,1.00,Medium - Sl. Thick,n/a,None,D113227225,$602
8,Round,0.30 ct.,F,VS2,Excellent,GIA,62.4 %,59 %,Good,Good,Very Good,4.20x4.24x2.63 mm,1.01,Sl. Thick - Thick,None,None,D113696370,$602
9,Round,0.33 ct.,H,SI1,Super Ideal,GIA,61.6 %,59 %,Excellent,Excellent,Excellent,4.42x4.44x2.73 mm,1.00,n/a,None,Strong,D112320976,$604
10,Round,0.26 ct.,G,VS2,Super Ideal,GIA,60.3 %,59 %,Excellent,Excellent,Excellent,4.13x4.15x2.5 mm,1.00,n/a,None,None,D113151250,$604
11,Round,0.30 ct.,G,SI1,Super Ideal,GIA,61.2 %,60 %,Excellent,Excellent,Excellent,4.33x4.29x2.64 mm,1.01,n/a,None,Medium,D113626974,$604
12,Round,0.26 ct.,G,VVS1,Super Ideal,GIA,61.1 %,60 %,Excellent,Excellent,Excellent,4.16x4.15x2.54 mm,1.00,n/a,None,Strong,D112185282,$605
13,Round,0.27 ct.,F,VS2,Super Ideal,GIA,62.1 %,57 %,Excellent,Excellent,Excellent,4.13x4.15x2.57 mm,1.00,n/a,None,Faint,D113031558,$605
14,Round,0.30 ct.,G,SI1,Super Ideal,GIA,61.1 %,59 %,Excellent,Excellent,Excellent,4.32x4.36x2.65 mm,1.01,Medium - Sl. Thick,n/a,Faint,D113611496,$605
15,Round,0.26 ct.,G,VVS2,Super Ideal,GIA,62.1 %,56 %,Excellent,Excellent,Excellent,4.07x4.09x2.53 mm,1.00,Medium - Sl. Thick,n/a,Faint,D113713167,$605
16,Round,0.40 ct.,I,SI2,Ideal,GIA,63.5 %,56 %,Excellent,Excellent,Very Good,4.67x4.7x2.97 mm,1.01,n/a,None,Medium,D112137298,$607
17,Round,0.30 ct.,F,SI2,Super Ideal,GIA,61.8 %,55 %,Excellent,Very Good,Excellent,4.28x4.3x2.65 mm,1.00,Thin - Sl. Thick,None,Faint,D113087706,$607
18,Round,0.30 ct.,D,SI1,Super Ideal,GIA,62.1 %,59 %,Excellent,Excellent,Excellent,4.28x4.31x2.67 mm,1.01,Medium - Sl. Thick,None,Faint,D113495713,$607
